Date,Price,Open,High,Low,Vol,Change %
05/30/2024,36.8,36.31,36.93,36.03,1.23,0.82%
05/29/2024,36.5,36.69,37.12,35.5,1.49,-2.22%
05/28/2024,37.33,36.65,37.42,36.15,1.15,3.15%
05/24/2024,36.19,36.63,37,36.13,499.64,-0.47%
05/23/2024,36.36,38.16,38.25,36.2,979.52,-3.73%
05/22/2024,37.77,38.22,38.55,37.43,750.52,-2.55%
05/21/2024,38.76,37.58,38.79,37.41,923.11,2.59%
05/20/2024,37.78,37.4,37.94,37.01,919.75,2.11%
05/17/2024,37,37.42,37.48,36.65,1.29,-0.86%
05/16/2024,37.32,38.74,38.77,37.07,1.43,-3.74%
05/15/2024,38.77,40.28,40.28,38.72,1.52,-1.60%
05/14/2024,39.4,38.15,40.29,38.04,2.71,4.59%
05/13/2024,37.67,36.51,37.71,34.99,2.81,4.90%
05/10/2024,35.91,33.81,35.98,33.5,4.14,10.22%
05/09/2024,32.58,33.65,33.68,32.44,2.21,-3.24%
05/08/2024,33.67,34,34.83,33.64,1.79,-3.33%
05/07/2024,34.83,34.83,35.25,34.48,1.42,-0.06%
05/06/2024,34.85,34.81,35.17,34.3,12.51,1.78%
05/03/2024,34.24,36,36.45,33.94,1.88,-3.11%
05/02/2024,35.34,35.88,36,34.34,2.18,-0.53%
05/01/2024,35.53,35.68,36.59,34.83,3.93,8.13%
04/30/2024,32.86,33.68,34.01,32.77,999.53,-3.47%
04/29/2024,34.04,33.81,34.19,33.51,698.26,1.58%
04/26/2024,33.51,32.86,33.82,32.58,826.8,3.30%
04/25/2024,32.44,32.02,32.45,31.42,909.04,-1.76%
04/24/2024,33.02,33.02,33.42,32.57,599.26,0.95%
04/23/2024,32.71,32.36,33,31.81,913.47,0.80%
04/22/2024,32.45,32.47,32.9,31.77,859.14,0.06%
04/19/2024,32.43,32.81,33.28,32.21,1.14,-1.52%
04/18/2024,32.93,33.23,33.85,32.8,742.65,-0.90%
04/17/2024,33.23,33.77,34.2,33.08,753.02,-0.54%
04/16/2024,33.41,33.86,33.86,32.96,862.69,-2.11%
04/15/2024,34.13,35.08,35.51,33.68,634.31,-2.79%
04/12/2024,35.11,35.86,36.18,34.72,686.46,-3.76%
04/11/2024,36.48,36.28,37.11,36.04,675.74,1.56%
04/10/2024,35.92,35.98,36.39,35.5,694.03,-3.44%
04/09/2024,37.2,37.4,37.69,36.76,889.55,-0.75%
04/08/2024,37.48,37.7,37.86,37.1,631.36,0.43%
04/05/2024,37.32,36.63,37.64,36.63,814.11,1.50%
04/04/2024,36.77,37.14,38.07,36.6,776.95,0.08%
04/03/2024,36.74,36.66,37.82,36.61,580.84,-1.29%
04/02/2024,37.22,37.26,37.28,36.46,951.63,-2.49%
04/01/2024,38.17,38.13,38.59,37.75,608.51,-0.03%
03/28/2024,38.18,39.03,39.64,38.16,700.87,-2.30%
03/27/2024,39.08,39.29,39.67,38.25,684.7,0.54%
03/26/2024,38.87,39.27,39.48,38.54,670.39,0.31%
03/25/2024,38.75,39.22,39.58,38.65,711.65,-1.40%
03/22/2024,39.3,39.77,40.22,39.05,561.52,-1.33%
03/21/2024,39.83,40,41.14,39.81,986.61,1.43%
03/20/2024,39.27,39.09,39.79,38.69,868.05,0.03%
03/19/2024,39.26,39.96,40.6,39.15,783.73,-3.23%
03/18/2024,40.57,39.12,41.02,38.34,1.02,3.71%
03/15/2024,39.12,38.65,39.35,38.5,1.95,0.20%
03/14/2024,39.04,40.65,40.88,38.79,814.63,-3.82%
03/13/2024,40.59,40.16,41.58,40.16,790.56,0.40%
03/12/2024,40.43,40.2,41.13,39.72,803.2,0.75%
03/11/2024,40.13,39.21,40.63,39.21,931.26,2.06%
03/08/2024,39.32,38.86,40.65,38.68,972.55,1.89%
03/07/2024,38.59,39.36,40.24,38.42,1.22,-1.33%
03/06/2024,39.11,38.8,39.74,37.97,1.11,4.35%
03/05/2024,37.48,38.18,38.25,36.71,1.23,-3.18%
03/04/2024,38.71,38.45,39.02,37.27,1.34,0.81%
03/01/2024,38.4,38.09,38.9,37.3,876.26,1.27%
02/29/2024,37.92,37.72,38.62,37.27,1.16,1.63%
02/28/2024,37.31,37.07,37.49,36.85,782.16,-0.61%
02/27/2024,37.54,36.55,38.43,36.35,1.33,3.73%
02/26/2024,36.19,37.23,37.32,36.04,1.94,-3.52%
02/23/2024,37.51,39.05,39.58,37.15,1.44,-3.72%
02/22/2024,38.96,38.5,39.68,36.7,2.47,8.68%
02/21/2024,35.85,35.64,36.5,35.24,2.35,-3.11%
02/20/2024,37,38.5,39.22,36.38,2.88,-8.19%
02/16/2024,40.3,40.36,41.07,39.83,1.24,-1.42%
02/15/2024,40.88,39.7,40.96,39.04,1.44,3.44%
02/14/2024,39.52,38.53,39.78,37.7,871.13,4.36%
02/13/2024,37.87,37.2,39.1,37.06,1.89,-3.96%
02/12/2024,39.43,39,40.57,38.86,1.21,0.03%
02/09/2024,39.42,37.69,40.7,37.51,2.3,7.29%
02/08/2024,36.74,35.34,36.88,35.01,823.91,3.43%
02/07/2024,35.52,34.83,36.31,33.82,904.27,2.36%
02/06/2024,34.7,34.37,35.38,34.37,828.68,0.96%
02/05/2024,34.37,35.15,35.2,33.85,673.96,-3.83%
02/02/2024,35.74,34.81,36.24,33.94,949.43,3.18%
02/01/2024,34.64,34.04,34.9,33.66,783.69,2.73%
01/31/2024,33.72,34.73,35.18,33.66,1.01,-4.39%
01/30/2024,35.27,34.82,35.36,34.13,1.09,1.35%
01/29/2024,34.8,33,34.84,32.78,658.41,5.45%
01/26/2024,33,33.49,33.96,32.83,615.54,-0.42%
01/25/2024,33.14,33.1,33.35,32.64,839.19,1.50%
01/24/2024,32.65,34.65,34.95,32.58,1.24,-4.67%
01/23/2024,34.25,34.81,35.13,34.07,821.34,-1.72%
01/22/2024,34.85,35.51,36.65,34.6,900.63,0.55%
01/19/2024,34.66,34.86,34.99,34.04,733.94,0.49%
01/18/2024,34.49,34.91,35.12,33.57,743.03,0.50%
01/17/2024,34.32,34.04,34.4,32.86,1.33,-1.94%
01/16/2024,35,35.17,35.57,34.54,785.33,-1.88%
01/12/2024,35.67,36.74,37.5,35.67,716.98,-2.03%
01/11/2024,36.41,36.35,37.1,35.43,632.43,-0.33%
01/10/2024,36.53,36.56,37.01,36.25,744.34,-0.03%
01/09/2024,36.54,36.3,36.86,36.16,607.03,-0.71%
01/08/2024,36.8,35.46,36.88,35.46,765.07,4.13%
01/05/2024,35.34,34.67,36.09,34.6,517.7,0.54%
01/04/2024,35.15,34.58,35.37,34.39,753.71,1.21%
01/03/2024,34.73,35.39,35.79,34.41,1.3,-4.17%
01/02/2024,36.24,36,36.65,35.34,1.08,-1.23%
12/29/2023,36.69,37.76,38.08,36.63,924.57,-3.55%
12/28/2023,38.04,37.8,38.08,37.58,591.41,-0.29%
12/27/2023,38.15,38.06,38.5,37.94,623.21,0.82%
12/26/2023,37.84,36.91,38.21,36.76,648.29,2.52%
12/22/2023,36.91,37.47,37.87,36.62,583.64,-1.47%
12/21/2023,37.46,37.26,37.79,36.73,856.99,2.71%
12/20/2023,36.47,36.85,38.18,36.2,1.24,-0.90%
12/19/2023,36.8,36.2,37.18,35.89,1.36,2.39%
12/18/2023,35.94,35.47,36.3,35.09,930.96,1.33%
12/15/2023,35.47,36.31,36.31,34.47,1.85,-1.03%
12/14/2023,35.84,34.1,35.99,34.1,1.81,7.89%
12/13/2023,33.22,31.95,33.61,31.51,1.25,4.14%
12/12/2023,31.9,31.32,31.94,30.73,877.42,1.59%
12/11/2023,31.4,30.81,31.59,30.57,699.16,1.13%
12/08/2023,31.05,30.28,31.24,30.11,531.13,1.44%
12/07/2023,30.61,30.31,30.9,29.7,644.69,0.39%
12/06/2023,30.49,30.87,31.5,30.39,697.38,-1.33%
12/05/2023,30.9,30.31,31.08,30,823.57,0.42%
12/04/2023,30.77,30.42,31.32,30.42,806.46,-0.26%
12/01/2023,30.85,30.21,30.99,29.77,1.4,4.15%
11/30/2023,29.62,31.08,31.15,29.38,1.41,-2.98%
11/29/2023,30.53,30.58,31.48,30.53,1.27,1.29%
11/28/2023,30.14,28.51,30.14,28.37,1.01,5.20%
11/27/2023,28.65,28.72,29.04,28.34,600.37,-0.80%
11/24/2023,28.88,28.27,29.39,28.27,426.49,-0.03%
11/22/2023,28.89,28.8,29.11,28.34,1.24,1.69%
11/21/2023,28.41,29.78,29.85,28.29,1.17,-0.63%
11/20/2023,28.59,28.7,28.99,28.29,1.6,-1.07%
11/17/2023,28.9,27.39,28.99,27.28,1.92,5.86%
11/16/2023,27.3,26.96,27.4,26.1,1.18,0.11%
11/15/2023,27.27,26.96,27.61,26.44,1.71,2.25%
11/14/2023,26.67,26.52,27.27,26.23,1.4,4.26%
11/13/2023,25.58,25,25.77,24.6,1.14,1.51%
11/10/2023,25.2,24.33,25.27,24.07,2.01,2.82%
11/09/2023,24.51,25.28,25.5,24.21,938.48,-2.51%
11/08/2023,25.14,26.35,26.36,24.83,2.16,-4.30%
11/07/2023,26.27,25.84,27.36,25.27,3.31,10.15%
11/06/2023,23.85,25,25.06,23.65,1.53,-3.68%
11/03/2023,24.76,26.79,26.85,24.32,4.07,16.63%
11/02/2023,21.23,20.21,21.37,20.21,2.74,7.11%
11/01/2023,19.82,20.23,20.5,19.39,1.47,-3.13%
10/31/2023,20.46,20.42,20.76,20.1,1.19,-0.58%
10/30/2023,20.58,20.69,20.88,20.41,1.03,0.19%
10/27/2023,20.54,20.98,21.23,20.19,1.29,-0.68%
10/26/2023,20.68,21.18,21.5,20.48,901.02,-1.76%
10/25/2023,21.05,21.66,21.66,20.83,1.39,-5.31%
10/24/2023,22.23,21.75,22.34,21.75,880.85,3.49%
10/23/2023,21.48,21.63,22.03,21.2,881.98,-0.19%
10/20/2023,21.52,22.77,22.77,21.42,1.12,-6.39%
10/19/2023,22.99,23.12,23.58,22.93,772.34,0.17%
10/18/2023,22.95,24,24.15,22.77,1.04,-5.20%
10/17/2023,24.21,23.35,24.52,23.21,1.03,2.37%
10/16/2023,23.65,23.05,23.95,22.88,885.27,3.10%
10/13/2023,22.94,23.23,23.48,22.81,1.04,-2.09%
10/12/2023,23.43,24.5,24.5,23.16,1.08,-5.14%
10/11/2023,24.7,24.45,25.12,24.43,1.3,1.44%
10/10/2023,24.35,23.36,24.69,23.35,1.05,4.51%
10/09/2023,23.3,22.48,23.35,22.44,1.38,1.35%
10/06/2023,22.99,22.01,23.15,21.85,964.48,3.05%
10/05/2023,22.31,22.35,22.64,21.76,977.52,-0.36%
10/04/2023,22.39,23.27,23.46,22.1,1.44,-2.74%
10/03/2023,23.02,23.96,23.96,22.93,913.97,-3.76%
10/02/2023,23.92,23.91,24.35,23.35,1.09,-0.46%
09/29/2023,24.03,24.29,24.6,23.83,839.56,0.92%
09/28/2023,23.81,23.19,24.24,22.96,1.07,2.01%
09/27/2023,23.34,23.18,23.49,22.81,1.33,0.86%
09/26/2023,23.14,23.96,24.28,23.12,1.25,-4.06%
09/25/2023,24.12,23.98,24.43,23.73,1.07,-0.41%
09/22/2023,24.22,24.43,24.65,23.83,1.23,1.09%
09/21/2023,23.96,23.73,24.76,23.62,2.36,-0.54%
09/20/2023,24.09,24.06,24.27,23.81,993.62,0.84%
09/19/2023,23.89,23.9,24.17,23.61,1.28,-0.67%
09/18/2023,24.05,24.11,24.3,23.77,957,-1.11%
09/15/2023,24.32,25.04,25.15,24.24,2.1,-3.45%
09/14/2023,25.19,25.22,25.51,24.71,1.09,0.48%
09/13/2023,25.07,24.9,25.35,24.66,1.23,0.89%
09/12/2023,24.85,25.56,25.64,24.62,2.12,-4.61%
09/11/2023,26.05,27.27,27.27,25.84,2.55,-2.98%
09/08/2023,26.85,24.94,27.12,24.85,3.73,1.02%
09/07/2023,26.58,25.4,26.95,24.94,2.32,2.86%
09/06/2023,25.84,26.37,26.64,25.71,1.85,-2.53%
09/05/2023,26.51,26.48,26.73,25.94,2.17,-0.93%
09/01/2023,26.76,27.16,27.78,26.73,3.19,-1.07%
08/31/2023,27.05,27.99,28.34,27.05,2.06,-3.29%
08/30/2023,27.97,27.88,28.96,27.75,1.71,-0.14%
08/29/2023,28.01,28.09,28.46,27.77,1.83,-1.02%
08/28/2023,28.3,29.13,29.27,28.01,2.65,-1.94%
08/25/2023,28.86,29.11,29.62,26.9,7.09,-8.41%
08/24/2023,31.51,32.72,32.99,31.15,1.2,-3.82%
08/23/2023,32.76,32.18,32.92,32.05,849.94,1.49%
08/22/2023,32.28,32.73,33.06,31.89,636.11,-0.37%
08/21/2023,32.4,32.66,32.82,31.95,968.18,-0.98%
08/18/2023,32.72,31.89,32.93,31.71,1.16,1.49%
08/17/2023,32.24,33.41,33.59,32.08,1.31,-3.70%
08/16/2023,33.48,34.57,35.03,33.42,1.39,-3.57%
08/15/2023,34.72,35.78,35.9,34.46,1.44,-3.90%
08/14/2023,36.13,35.53,36.68,35.2,1.38,0.95%
08/11/2023,35.79,35.16,36.85,35.05,1.95,2.23%
08/10/2023,35.01,36.05,36.46,34.83,2.26,-2.51%
08/09/2023,35.91,36,36.27,34.69,2,-0.44%
08/08/2023,36.07,35.12,36.16,34.47,2.12,1.32%
08/07/2023,35.6,35.11,36.43,34.61,2.65,1.40%
08/04/2023,35.11,38,38.3,34.3,10.89,-24.79%
08/03/2023,46.68,46.54,48.4,46.12,3.04,-0.68%
08/02/2023,47,47.24,47.62,45.63,1.7,-2.89%
08/01/2023,48.4,48.78,49.5,48,1.51,-2.26%
07/31/2023,49.52,48.16,49.6,48.16,1.14,2.55%
07/28/2023,48.29,47.22,48.92,47.22,926.67,3.96%
07/27/2023,46.45,47.56,47.98,45.89,901.55,-0.66%
07/26/2023,46.76,48.62,48.62,45.96,1.5,-4.06%
07/25/2023,48.74,47.18,48.78,47.18,1.05,4.10%
07/24/2023,46.82,49.36,49.36,46.79,1.12,-3.98%
07/21/2023,48.76,49.5,50.05,48.24,1.13,0.45%
07/20/2023,48.54,49.17,49.61,47.83,1.13,-2.73%
07/19/2023,49.9,50.73,51.69,49.27,1.23,0.36%
07/18/2023,49.72,48.49,50.23,48.42,1.31,2.14%
07/17/2023,48.68,46.68,49.04,46.22,1.49,4.40%
07/14/2023,46.63,49.13,49.61,46.31,1.2,-4.88%
07/13/2023,49.02,48.55,49.7,48.25,1.36,2.30%
07/12/2023,47.92,48.1,48.44,46.58,1.24,2.02%
07/11/2023,46.97,47.51,48.14,46.41,1.2,-0.32%
07/10/2023,47.12,46,47.14,44.28,1.83,2.15%
07/07/2023,46.13,45.1,47.17,45.08,2.71,2.31%
07/06/2023,45.09,39.77,45.4,39.17,4.97,13.38%
07/05/2023,39.77,38.92,40.17,38.92,805.59,0.56%
07/03/2023,39.55,40.15,40.27,39.1,744.84,-1.47%
06/30/2023,40.14,39.83,40.62,39.82,830.19,2.48%
06/29/2023,39.17,39.91,40.26,38.85,917.2,-1.41%
06/28/2023,39.73,39.16,40.81,39.12,1.21,0.94%
06/27/2023,39.36,38.17,39.47,37.71,1.36,4.40%
06/26/2023,37.7,38.34,39.35,37.39,1.25,-2.38%
06/23/2023,38.62,38.28,39.18,38.09,2.07,-1.08%
06/22/2023,39.04,39.2,40.07,38.6,2.31,-5.65%
06/21/2023,41.38,42.66,42.94,40.97,1.29,-3.61%
06/20/2023,42.93,43.31,44.23,42.69,1.46,-1.85%
06/16/2023,43.74,46.04,46.35,43.55,2.83,-4.75%
06/15/2023,45.92,45.6,46.32,45.35,1.53,-0.56%
06/14/2023,46.18,46.67,47.23,44.99,1.63,-1.20%
06/13/2023,46.74,45.34,47.23,44.89,2.12,4.12%
06/12/2023,44.89,43.97,44.93,43.3,1.21,2.37%
06/09/2023,43.85,43.25,44.77,43.24,902.05,2.48%
06/08/2023,42.79,42.43,43.03,41.78,1.17,0.21%
06/07/2023,42.7,44,44.74,42.33,2.58,-4.43%
06/06/2023,44.68,42.1,45.48,41.97,2.66,5.98%
06/05/2023,42.16,41.16,42.17,40.7,1.69,1.74%
06/02/2023,41.44,40.54,41.47,40.1,1.97,4.51%
06/01/2023,39.65,38.38,40.2,37.88,1.64,1.28%
05/31/2023,39.15,36.53,39.16,36.52,2.66,6.39%
05/30/2023,36.8,36.85,37.15,35.91,1.24,2.22%
05/26/2023,36,34.46,36.9,34.38,1.49,4.99%
05/25/2023,34.29,34.89,35.1,33.52,723.61,0.09%
05/24/2023,34.26,34.02,34.54,33.88,1.56,-1.21%
05/23/2023,34.68,34.93,35.6,34.15,1.18,-0.83%
05/22/2023,34.97,33.9,35.35,33.67,1.37,2.73%
05/19/2023,34.04,34.76,34.81,33.54,1.13,-2.30%
05/18/2023,34.84,34.23,35.02,33.63,1.17,4.06%
05/17/2023,33.48,32.44,33.59,32.27,856.36,3.43%
05/16/2023,32.37,32.55,33.16,32.35,629.35,-2.12%
05/15/2023,33.07,32.38,33.7,32.03,1.24,2.26%
05/12/2023,32.34,32.14,33.04,31.76,755.6,0.19%
05/11/2023,32.28,32.74,32.91,31.86,1.06,-0.98%
05/10/2023,32.6,33.42,33.6,32.54,2.11,-2.45%
05/09/2023,33.42,32.51,34.81,31.5,2.53,0.63%
05/08/2023,33.21,33.3,33.78,32.78,2.45,1.22%
05/05/2023,32.81,32.28,32.9,32.21,1.5,2.02%
05/04/2023,32.16,32,32.62,31.5,1.84,2.65%
05/03/2023,31.33,30.77,31.8,30.68,1.57,1.29%
05/02/2023,30.93,31.8,31.98,30.57,1.32,-2.49%
05/01/2023,31.72,31.32,31.89,30.88,1.07,0.57%
04/28/2023,31.54,31.63,31.94,28.9,2.49,-3.84%
04/27/2023,32.8,32.5,32.82,31.44,1.2,2.60%
04/26/2023,31.97,32.63,33.06,31.71,1.17,2.30%
04/25/2023,31.25,31.34,32.3,30.52,2.42,-4.93%
04/24/2023,32.87,34.45,34.74,32.69,1.44,-4.97%
04/21/2023,34.59,33.66,34.61,33.61,986.06,3.53%
04/20/2023,33.41,33.82,34.26,33.09,1.43,-3.05%
04/19/2023,34.46,34.69,35.13,34.25,905.69,-2.27%
04/18/2023,35.26,35.02,35.56,34.26,1.03,1.94%
04/17/2023,34.59,33.17,34.7,33.01,2.39,3.87%
04/14/2023,33.3,34.74,35.24,32.78,1.95,-5.34%
04/13/2023,35.18,35.99,36.38,35,1.67,-1.07%
04/12/2023,35.56,37.32,37.96,35.46,1.58,-2.25%
04/11/2023,36.38,36.45,37.19,35.41,1.52,-0.74%
04/10/2023,36.65,36.63,37.09,36.13,1.49,-1.74%
04/06/2023,37.3,37.52,37.53,36.53,1.23,-1.01%
04/05/2023,37.68,38.41,39.1,36.96,1.38,-2.59%
04/04/2023,38.68,38.77,39.13,37.96,1.38,0.55%
04/03/2023,38.47,38.87,39.26,37.54,1.64,-1.79%
03/31/2023,39.17,37,39.66,36.44,3.1,6.44%
03/30/2023,36.8,36.1,36.89,35.8,1.53,3.78%
03/29/2023,35.46,35.21,36.06,35,917.59,1.75%
03/28/2023,34.85,34.92,35.53,34.43,1.67,0.06%
03/27/2023,34.83,35.16,36.4,34.49,2.08,-0.85%
03/24/2023,35.13,35.32,35.9,34.88,1.11,-1.01%
03/23/2023,35.49,35.21,36.04,34.82,1.71,2.93%
03/22/2023,34.48,35.2,36.1,34.48,1.21,-2.71%
03/21/2023,35.44,35,36.03,34.65,1.25,2.10%
03/20/2023,34.71,33.81,34.76,33.33,1.61,1.85%
03/17/2023,34.08,33.8,34.8,32.22,3.6,-2.77%
03/16/2023,35.05,34.49,35.95,34.3,1.53,0.81%
03/15/2023,34.77,33.67,34.91,33.47,2.44,1.96%
03/14/2023,34.1,35,35.89,33.69,2.5,-0.41%
03/13/2023,34.24,32.05,34.85,31.89,1.99,3.76%
03/10/2023,33,34.22,35.29,32.5,2.52,-4.49%
03/09/2023,34.55,36.2,38.04,34.49,2.16,-6.11%
03/08/2023,36.8,35.75,37.15,35.53,1.79,2.82%
03/07/2023,35.79,34.97,36.53,34.68,1.76,2.64%
03/06/2023,34.87,35.77,36.06,34.75,1.23,-1.13%
03/03/2023,35.27,33.51,35.3,33.51,1.58,5.60%
03/02/2023,33.4,31.2,33.6,30.91,1.62,5.20%
03/01/2023,31.75,31.88,32.73,31.61,1.4,-0.72%
02/28/2023,31.98,31.15,33.12,31.15,1.91,2.66%
02/27/2023,31.15,31.77,32.34,30.7,1.84,-0.92%
02/24/2023,31.44,31.9,32.69,30.88,1.85,-4.00%
02/23/2023,32.75,33.5,34.01,32,1.73,-1.80%
02/22/2023,33.35,32.54,34.5,32.54,2.11,-0.89%
02/21/2023,33.65,34.77,35.54,33.58,2.45,-4.76%
02/17/2023,35.33,35.91,37.08,34.73,3.23,-0.70%
02/16/2023,35.58,35,36.22,31.32,4.71,7.82%
02/15/2023,33,30.5,33.37,30.5,3.49,7.81%
02/14/2023,30.61,28.52,31.03,28.14,1.29,5.66%
02/13/2023,28.97,27.99,29.2,27.6,923.25,4.85%
02/10/2023,27.63,28.46,29.06,27.37,1.05,-4.92%
02/09/2023,29.06,30.63,30.88,29.02,686.28,-3.29%
02/08/2023,30.05,30.31,31.1,29.95,942.47,-1.15%
02/07/2023,30.4,29.66,30.53,28.11,1.32,2.05%
02/06/2023,29.79,30.5,31.73,29.33,1.38,-3.90%
02/03/2023,31,33.14,33.3,30.75,1.94,-10.64%
02/02/2023,34.69,32.72,34.87,32.57,1.94,10.23%
02/01/2023,31.47,29.52,31.98,28.94,1.25,7.22%
01/31/2023,29.35,29.3,29.97,29.15,835.01,0.96%
01/30/2023,29.07,29.15,29.9,28.5,739.5,-1.92%
01/27/2023,29.64,28.55,29.94,28.45,1.2,2.77%
01/26/2023,28.84,28.68,29.02,27.62,744.15,3.15%
01/25/2023,27.96,26.81,28.31,25.71,1.13,-1.51%
01/24/2023,28.39,28.7,29.26,28.07,531.08,-1.29%
01/23/2023,28.76,27.88,28.81,27.47,556.37,4.13%
01/20/2023,27.62,26.77,27.88,26.41,1.23,4.42%
01/19/2023,26.45,27.09,27.55,26.34,763.06,-5.06%
01/18/2023,27.86,28.45,29.5,27.67,1.38,0.29%
01/17/2023,27.78,26.95,27.98,26.3,975.31,0.33%
01/13/2023,27.69,26.89,27.71,26.59,799.13,2.06%
01/12/2023,27.13,26.9,27.19,25.37,822.03,1.61%
01/11/2023,26.7,26.72,26.87,26.15,652.91,1.64%
01/10/2023,26.27,24.75,26.28,24.75,884.4,4.08%
01/09/2023,25.24,24.91,25.82,24.91,996.99,3.78%
01/06/2023,24.32,24.46,24.89,23.45,1.17,0.00%
01/05/2023,24.32,25.87,25.87,24.24,1.06,-6.96%
01/04/2023,26.14,26.18,26.27,24.85,1.07,2.31%
01/03/2023,25.55,25.99,26.68,25.25,1.9,0.31%
12/30/2022,25.47,24.68,25.61,24.68,1.06,0.63%
12/29/2022,25.31,24,25.33,23.87,1.09,6.75%
12/28/2022,23.71,23.5,23.98,23.38,829.59,0.17%
12/27/2022,23.67,24.4,24.49,23.58,927,-4.36%
12/23/2022,24.75,25.3,25.3,24.49,638.16,-2.44%
12/22/2022,25.37,25.5,25.56,24.42,1.09,-2.20%
12/21/2022,25.94,26.85,27.1,25.93,1.22,-2.30%
12/20/2022,26.55,26.1,27.12,25.7,1.24,0.53%
12/19/2022,26.41,28.51,28.51,26.13,1.42,-6.28%
12/16/2022,28.18,27.97,28.29,27.38,1.86,0.11%
12/15/2022,28.15,29.08,29.42,27.82,1.53,-6.07%
12/14/2022,29.97,29.09,30.48,29,1.45,2.53%
12/13/2022,29.23,31.37,31.42,28.56,1.77,0.38%
12/12/2022,29.12,29.09,29.5,28.6,1.31,-0.88%
12/09/2022,29.38,29.49,30.33,29.09,951.64,-1.08%
12/08/2022,29.7,28.61,30.23,28.04,1.21,6.87%
12/07/2022,27.79,28.68,29.91,27.71,1.42,-2.63%
12/06/2022,28.54,29.02,29.16,28.12,900.83,-1.48%
12/05/2022,28.97,30.4,30.89,28.53,1.14,-6.06%
12/02/2022,30.84,29.22,30.93,28.88,1.01,1.78%
12/01/2022,30.3,29.65,30.58,28.89,1.16,1.58%
11/30/2022,29.83,27.36,29.94,27.28,1.48,8.43%
11/29/2022,27.51,28.3,28.38,27.03,939.07,-0.86%
11/28/2022,27.75,27.41,27.92,27.06,1.04,0.18%
11/25/2022,27.7,27.84,28.05,27.56,391.12,-1.67%
11/23/2022,28.17,26.91,28.39,26.68,927.92,4.68%
11/22/2022,26.91,27.57,27.65,26.42,951.09,-2.68%
11/21/2022,27.65,27.56,28.25,27.21,1.04,-2.19%
11/18/2022,28.27,29.09,29.51,27.95,1.17,-0.95%
11/17/2022,28.54,29.5,29.71,28.38,1.42,-6.33%
11/16/2022,30.47,31.6,31.64,30.18,923.31,-5.90%
11/15/2022,32.38,32.6,33.07,32.08,1.29,4.65%
11/14/2022,30.94,32.68,33.05,30.87,1.48,-6.36%
11/11/2022,33.04,29.61,33.37,29.6,2.59,10.98%
11/10/2022,29.77,29.01,29.8,27.98,2.41,11.37%
11/09/2022,26.73,27.93,28.81,26.39,2.34,-5.01%
11/08/2022,28.14,26.25,28.76,26,5.67,-4.29%
11/07/2022,29.4,30.71,30.99,28.23,3.63,-3.67%
11/04/2022,30.52,31.97,32.23,29,2.47,-3.87%
11/03/2022,31.75,31.86,32.66,31,1.4,-0.94%
11/02/2022,32.05,34.83,35.11,31.75,1.95,-9.16%
11/01/2022,35.28,37,38.1,35.25,912.3,-1.78%
10/31/2022,35.92,36.1,36.65,35.3,898.24,-1.54%
10/28/2022,36.48,34.8,36.75,34.3,1.81,-1.70%
